Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
20-015516,2020-12,4/8/2020 17:43,Y, , ,1, ,21000,4,RAPE -- FORCIBLE                                  ,1100,BIDDLE ST,62, , ,1100,BIDDLE,0,0
20-057391,2020-12,4/10/2015 0:01,Y, , ,1, ,21000,6,RAPE -- FORCIBLE                                  ,4700,LABADIE,55,,,4700,LABADIE,0,0
20-058018,2020-12,5/10/2019 14:00,Y, , ,1, ,64701,5,LARCENY-FROM MTR VEH UNDER $500                   ,5202,VERNON,51,,,,,0,0
20-021078,2020-12,5/16/2020 20:43,Y, , ,1, ,152200,6,WEAPONS-CITY VIOL/DISCHRGING IN CITY              ,4614,ASHLAND,56,                                                                           ,                                                                                ,4614,ASHLAND,0,0
20-020913,2020-12,5/17/2020 15:06,Y, , ,1, ,152200,5,WEAPONS-CITY VIOL/DISCHRGING IN CITY              ,4947,ALDINE,55,                                                                           ,                                                                                ,4947,ALDINE,0,0
20-020904,2020-12,5/18/2020 2:28,Y, , ,1, ,152200,6,WEAPONS-CITY VIOL/DISCHRGING IN CITY              ,5485,BROWN,70,                                                                           ,                                                                                ,5485,BROWN,0,0
20-021066,2020-12,5/18/2020 14:02,Y, , ,1, ,152200,6,WEAPONS-CITY VIOL/DISCHRGING IN CITY              ,4306,LABADIE,56,                                                                           ,                                                                                ,4306,LABADIE,0,0
20-000433,2020-12,5/29/2019 11:24,Y, , ,1, ,171300,6,SEX OFFNS-STATUATORY RAPE/SECOND                  ,6000,N BROADWAY,79, , ,1900,OLIVE,0,0
20-058522,2020-12,5/31/2020 12:00,Y, , ,1, ,65701,2,LARCENY-MTR VEH PARTS UNDER $500                  ,5508,LINDENWOOD,14,,,5508,LINDENWOOD,0,0
20-054367,2020-12,6/1/2020 12:00,Y, , ,1, ,71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,2863,S JEFFERSON AVE,30,NADER AND SONS, ,2863,JEFFERSON,899035,1007943
20-024340,2020-12,6/2/2020 12:00,Y, , ,1, ,92000,6,SIMPLE ASSAULT-HARRASSMENT                        ,5343,CONDE ST,66, , ,5343,CONDE,901868.2,1035550
20-024487,2020-12,6/8/2020 3:11,Y, , ,1, ,81000,1,ARSON-1ST DEGREE/SUCCESS                          ,4673,S 37TH ST,16, , ,4673,37TH,891505.5,998833
20-024587,2020-12,6/8/2020 16:00, ,Y, ,-1, ,41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,,,76,                                                                           ,                                                                                ,,,0,0
20-024587,2020-12,6/8/2020 16:00, ,Y, ,-1, ,41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,,,76,                                                                           ,                                                                                ,,,0,0
20-058383,2020-12,6/11/2020 6:00,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,3230,HARTFORD,25,ROOSEVELT HIGH SCHOOL,,3230,HARTFORD,0,0
20-057544,2020-12,6/18/2019 0:01,Y, , ,1, ,204100,3,FAMILY & CHILD CRIME-ENDANGR WELF CHILD           ,918,SHENANDOAH,21,,,918,SHENANDOAH,0,0
20-026636,2020-12,6/20/2020 9:20,Y, , ,1, ,41011,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,3467,GASCONADE ST,16, , ,,,893319.2,1001215
20-026636,2020-12,6/20/2020 9:20,Y, , ,1, ,41014,3,ASSLT-AGGRAV-FIREARM-1ST-ADULT-DOMESTIC           ,3467,GASCONADE ST,16, , ,,,893319.2,1001215
20-026636,2020-12,6/20/2020 9:20,Y, , ,1, ,41014,3,ASSLT-AGGRAV-FIREARM-1ST-ADULT-DOMESTIC           ,3467,GASCONADE ST,16, , ,,,893319.2,1001215
20-054338,2020-12,7/1/2020 8:00,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT              ,4175,MCREE AVE,28, , ,4175,MCREE,890827.1,1014540
20-057360,2020-12,7/1/2020 15:00,Y, , ,1, ,65701,1,LARCENY-MTR VEH PARTS UNDER $500                  ,930,BATES,1,,,930,BATES,0,0
20-055617,2020-12,7/1/2020 17:00,Y, , ,1, ,71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,2709,ARMAND,24,,,2709,ARMAND,0,0
01-903165,2020-12,7/3/2019 18:16,Y, , ,1, ,64711,3,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT         ,1323,S. JEFFERSON,32,,,,,0,0
20-055288,2020-12,7/14/2020 12:05,Y, , ,1, ,264100,4,HEALTH-SANITATION VIOL                            ,4430,20TH,66,,,4430,20TH,0,0
20-054539,2020-12,7/15/2020 12:00,Y, , ,1, ,112010,5,FRAUD-CREDIT DEVICE/OVER $150                     ,5723,CLEMENS AVE,48, , ,5723,CLEMENS,881525.9,1028054
20-056743,2020-12,8/1/2019 0:00,Y, , ,1, ,91113,4,SIMPLE ASSAULT-ADULT/NO INJURY                    ,3026,,37,Harris Stowe State University,,1525,VAIL,0,0
20-034005,2020-12,8/1/2020 13:09,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,1171,HAMILTON,48,                                                                           ,                                                                                ,1171,HAMILTON,0,0
20-050847,2020-12,8/3/2020 1:05,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION      ,111,N 15TH,36, ,NUISANCE ABATEMENT PROPERTY,111,15TH,0,0
20-056373,2020-12,8/6/2020 3:00,Y, , ,1, ,71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,2925,OLIVE,37,Avis Budget Rentals,,2925,OLIVE,0,0
20-036291,2020-12,8/11/2020 23:30,Y, , ,1, ,71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,1314,GRAVOIS,21,                                                                           ,                                                                                ,1314,GRAVOIS,0,0
20-036840,2020-12,8/15/2020 18:45,Y, , ,1, ,241100,4,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL         ,1900,,36,                                                                           ,                                                                                ,1900,PINE,0,0
20-057336,2020-12,8/18/2020 12:00,Y, , ,1, ,65701,6,LARCENY-MTR VEH PARTS UNDER $500                  ,8508,TRAFFORD,73,,,8508,TRAFFORD,0,0
20-046860,2020-12,8/18/2020 12:00,Y, , ,1, ,44025,6,ASLT-AGGRV-HND/FST/FT-2ND-CHILD-DOMESTIC          ,3919,LABADIE AVE,56, , ,1465,GRAND,898297.5,1029149
20-037001,2020-12,8/18/2020 15:30,Y, , ,1, ,67701,4,LARCENY-FROM BUILDING UNDER $500                  ,4024,PLEASANT,67,                                                                           ,                                                                                ,4024,PLEASANT,0,0
20-038064,2020-12,8/23/2020 22:39,Y, , ,1, ,152200,6,WEAPONS-CITY VIOL/DISCHRGING IN CITY              ,4537,MARY AVE,68, , ,4537,MARY,900553.8,1034203
20-038478,2020-12,8/25/2020 20:00,Y, , ,1, ,152200,5,WEAPONS-CITY VIOL/DISCHRGING IN CITY              ,2801,KINGSHIGHWAY,52,                                                                           ,                                                                                ,2801,KINGSHIGHWAY,0,0
20-038455,2020-12,8/26/2020 10:05,Y, , ,1, ,152200,5,WEAPONS-CITY VIOL/DISCHRGING IN CITY              ,4808,MAFFITT,55,                                                                           ,                                                                                ,4808,MAFFITT,0,0
20-053514,2020-12,8/26/2020 20:19,Y, , ,1, ,21000,4,RAPE -- FORCIBLE                                  ,300,S GRAND BLVD,37, ,,300,GRAND,0,0
20-055144,2020-12,8/31/2020 7:43,Y, , ,1, ,264100,4,HEALTH-SANITATION VIOL                            ,4430,20TH,66,,,4430,20TH,0,0
20-056514,2020-12,8/31/2020 8:00,Y, , ,1, ,71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,5461,DELMAR,49,,,5461,DELMAR,0,0
20-056880,2020-12,9/1/2020 7:00,Y, , ,1, ,117000,6,FAILURE TO RETURN BORROWED/RENTED VEHICL          ,865,WALL,74,,,865,WALL,0,0
20-058304,2020-12,9/1/2020 20:00,Y, , ,1, ,69602,6,"LARCENY-ALL OTHER $500 - $24,999                  ",8501,MORA,73,,,8501,MORA,0,0
20-058230,2020-12,9/2/2020 7:00,Y, , ,1, ,264100,2,HEALTH-SANITATION VIOL                            ,3630,PHILLIPS,15,,,3626,PHILLIPS,0,0
20-055125,2020-12,9/4/2020 14:49,Y, , ,1, ,51111,6,BURGLARY-RESIDENCE/DAY/FORCE ENT/OCCUPIED         ,5760,VIVIAN,73,,,4014,UNION,0,0
20-040150,2020-12,9/4/2020 21:16,Y, , ,1, ,130000,4,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET    ",3940,GARFIELD AVE,59, , ,3900,GARFIELD,897196.1,1026707
20-056257,2020-12,9/10/2020 10:00,Y, , ,1, ,65601,5,"LARCENY-MTR VEH PARTS $500 - $24,999              ",5600,LOUIS,50,Alexander Brake Shop,,5600,ST LOUIS,0,0
20-055149,2020-12,9/13/2020 0:00,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,3719,WISCONSIN,18,,,3719,WISCONSIN,0,0
20-041963,2020-12,9/15/2020 21:45,Y, , ,1, ,21000,5,RAPE -- FORCIBLE                                  ,0,CLARA AVE / PAGE BLVD,48, ,EXACT LOCATION UNKNOWN,110,17TH,0,0
02-042048,2020-12,9/16/2020 12:44,Y, , ,1, ,91113,3,SIMPLE ASSAULT-ADULT/NO INJURY                    ,2625,LOUISIANA,25,,,,,0,0
02-042048,2020-12,9/16/2020 12:44,Y, , ,1, ,41013,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE      ,2625,LOUISIANA,25,,,,,0,0
20-042231,2020-12,9/17/2020 13:00,Y, , ,1, ,182130,6,DRUGS-POSSESSION/HEROIN                           ,868,WALL ST,74, , ,868,WALL,896758.9,1050859
20-056900,2020-12,9/18/2020 12:00,Y, , ,1, ,65701,2,LARCENY-MTR VEH PARTS UNDER $500                  ,3240,JANUARY,14,,,3240,JANUARY,0,0
20-056216,2020-12,9/18/2020 17:00,Y, , ,1, ,69702,5,LARCENY-ALL OTHER UNDER $500                      ,4340,MARYLAND,38,,,4340,MARYLAND,0,0
20-055079,2020-12,9/21/2020 12:00,Y, , ,1, ,101000,6,FORGERY                                           ,4552,CARTER,69,,,4552,CARTER,0,0
20-052668,2020-12,9/23/2020 0:01,Y, , ,1, ,121000,4,EMBEZZLEMENT-VALUE OVER $150                      ,3140,OLIVE ST,37,BP GAS STATIOIN, ,3140,OLIVE,898657.9,1020260
20-043283,2020-12,9/23/2020 2:06,Y, , ,1, ,51330,6,BURGLARY-RESDNCE/UNK TIM/ATT FORCE ENTRY          ,5611,MIMIKA AVE,76, , ,5611,MIMIKA,890090.7,1046910
20-057366,2020-12,9/23/2020 13:30,Y, , ,1, ,65701,1,LARCENY-MTR VEH PARTS UNDER $500                  ,7719,IVORY,2,,,7719,IVORY,0,0
02-043618,2020-12,9/25/2020 15:50,Y, , ,1, ,91113,3,SIMPLE ASSAULT-ADULT/NO INJURY                    ,3649,WISCONSIN,18,,,,,0,0
02-043618,2020-12,9/25/2020 15:50,Y, , ,1, ,91123,3,SIMPLE ASSAULT-CHILD/NO INJURY                    ,3649,WISCONSIN,18,,,,,0,0
20-044156,2020-12,9/28/2020 21:33, , ,Y,1, ,71030,3,AUTO THEFT-PERM RETNT/JOY RIDE                    ,,,21,                                                                           ,                                                                                ,,,0,0
20-044156,2020-12,9/28/2020 21:33, , ,Y,-1, ,71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,,,21,                                                                           ,                                                                                ,,,0,0
20-055789,2020-12,9/30/2020 11:00,Y, , ,1, ,69702,1,LARCENY-ALL OTHER UNDER $500                      ,4345,TAFT,5,,,4345,TAFT,0,0
20-056477,2020-12,10/1/2020 0:01,Y, , ,1, ,91123,1,SIMPLE ASSAULT-CHILD/NO INJURY                    ,8506,BROADWAY,2,,,5055,ARSENAL,0,0
20-055912,2020-12,10/1/2020 8:00,Y, , ,1, ,65701,4,LARCENY-MTR VEH PARTS UNDER $500                  ,2615,WASHINGTON,37,,,2615,WASHINGTON,0,0
20-058398,2020-12,10/1/2020 10:00,Y, , ,1, ,65701,3,LARCENY-MTR VEH PARTS UNDER $500                  ,3407,JEFFERSON,18,,,3407,JEFFERSON,0,0
20-054997,2020-12,10/1/2020 15:00,Y, , ,1, ,69602,5,"LARCENY-ALL OTHER $500 - $24,999                  ",5738,GOODFELLOW PL,50, , ,5738,GOODFELLOW,885171.5,1037431
20-056776,2020-12,10/1/2020 17:00,Y, , ,1, ,66601,5,"LARCENY-BICYCLES $500 - $24,999                   ",4555,FOREST PARK,38,,,4555,FOREST PARK,0,0
20-055561,2020-12,10/3/2020 23:30,Y, , ,1, ,152200,6,WEAPONS-CITY VIOL/DISCHRGING IN CITY              ,4145,GRAND,67,,,4145,GRAND,0,0
20-046385,2020-12,10/4/2020 2:36,Y, , ,1, ,152200,5,WEAPONS-CITY VIOL/DISCHRGING IN CITY              ,5927,HIGHLAND,50,                                                                           ,                                                                                ,5927,HIGHLAND,0,0
20-046406,2020-12,10/10/2020 0:24,Y, , ,1, ,152200,5,WEAPONS-CITY VIOL/DISCHRGING IN CITY              ,5863,COTE BRILLIANTE,50,                                                                           ,                                                                                ,5863,COTE BRILLIANTE,0,0
20-046483,2020-12,10/11/2020 21:00, , ,Y,1, ,71030,3,AUTO THEFT-PERM RETNT/JOY RIDE                    ,1040,RUSSELL,21,,,1040,RUSSELL,0,0
20-046483,2020-12,10/11/2020 21:00, , ,Y,-1, ,71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,1040,RUSSELL,21,,,1040,RUSSELL,0,0
20-046364,2020-12,10/12/2020 7:00,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT                         ,,,85,,,,,0,0
20-058379,2020-12,10/12/2020 12:00,Y, , ,1, ,92000,1,SIMPLE ASSAULT-HARRASSMENT                        ,8022,BROADWAY,2,,,8022,BROADWAY,0,0
20-056581,2020-12,10/12/2020 15:00,Y, , ,1, ,67601,2,"LARCENY-FROM BUILDING $500 - $24,999              ",2300,MARCONI,12,,,2300,MARCONI,0,0
20-056008,2020-12,10/13/2020 4:45,Y, , ,1, ,64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT         ,515,OLIVE,35,MILLENNIUM CENTER,,515,OLIVE,0,0
20-046928,2020-12,10/15/2020 1:00, ,Y, ,-1, ,38111,6,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL       ,,,68,                                                                           ,                                                                                ,,,0,0
20-047029,2020-12,10/15/2020 16:30,Y, , ,1, ,130000,5,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET    ",600,N KINGSHIGHWAY BLVD,38, ,APARTMENT BUILDING,600,KINGSHIGHWAY,887891.8,1025894
20-047088,2020-12,10/16/2020 9:15,Y, , ,1, ,182400,6,DRUGS-POSSESSION/MARIJUANA                        ,4145,N GRAND BLVD,67,99 PLUS STORE, ,4145,GRAND,902004.8,1031608
20-047336,2020-12,10/18/2020 1:30, , ,Y,1, ,91113,3,SIMPLE ASSAULT-ADULT/NO INJURY                    ,2613,RUTGER,31,                                                                           ,                                                                                ,2613,RUTGER,0,0
20-047336,2020-12,10/18/2020 1:30, , ,Y,-1, ,67601,3,"LARCENY-FROM BUILDING $500 - $24,999              ",2613,RUTGER,31,                                                                           ,                                                                                ,2613,RUTGER,0,0
20-047700,2020-12,10/20/2020 11:15,Y, , ,1, ,130000,5,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET    ",1312,BELT AVE,78, , ,1312,BELT,884267.1,1030483
20-056401,2020-12,10/21/2020 1:05,Y, , ,1, ,63701,1,LARCENY-SHOPLIFT UNDER $500                       ,7450,HAMPTON,6,,,7450,HAMPTON,0,0
20-057453,2020-12,10/22/2020 13:00,Y, , ,1, ,69702,5,LARCENY-ALL OTHER UNDER $500                      ,5644,ENRIGHT,48,,,5644,ENRIGHT,0,0
20-058239,2020-12,10/23/2020 9:55,Y, , ,1, ,69702,3,LARCENY-ALL OTHER UNDER $500                      ,3302,KEOKUK,16,,,3302,KEOKUK,0,0
20-055305,2020-12,10/24/2019 12:00,Y, , ,1, ,52322,2,BURGLARY-BUSINESS/UNK TIME/UNLAW ENT/UNOCCUPIE    ,4512,SHENANDOAH,13,,,4512,SHENANDOAH,0,0
20-048554,2020-12,10/26/2020 7:30,Y, , ,1, ,130000,1,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET    ",7525,S BROADWAY,2, ,REAR PARKING LOT,7500,BROADWAY,889405.3,988394.8
20-048725,2020-12,10/27/2020 7:00,Y, , ,1, ,182999,4,DRUGS-POSSESSION/OTHR UNSPEC DRUG                 ,3724,PALM ST,59, , ,3724,PALM,900077.9,1029680
20-057312,2020-12,10/30/2020 15:00,Y, , ,1, ,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,1327,HAMPTON,41,,,1327,HAMPTON,0,0
20-057461,2020-12,10/31/2020 9:00,Y, , ,1, ,71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,2527,BACON,59,,,2527,BACON,0,0
20-055648,2020-12,10/31/2020 9:00,Y, , ,1, ,65701,3,LARCENY-MTR VEH PARTS UNDER $500                  ,2225,INDIANA,23,,,2225,INDIANA,0,0
20-055663,2020-12,11/1/2003 13:00,Y, , ,1, ,21000,1,RAPE -- FORCIBLE                                  ,4300,LOUISIANA,16,,,4300,LOUISIANA,0,0
20-055663,2020-12,11/1/2003 13:00,Y, , ,1, ,21000,1,RAPE -- FORCIBLE                                  ,4300,LOUISIANA,16,,,4300,LOUISIANA,0,0
20-056434,2020-12,11/1/2020 0:00,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT                         ,5045,CHIPPEWA,14,,,5045,CHIPPEWA,0,0
20-054701,2020-12,11/1/2020 8:00,Y, , ,1, ,65701,1,LARCENY-MTR VEH PARTS UNDER $500                  ,5931,CORONADO AVE,3, , ,5931,CORONADO,887322.4,996259.9
20-054517,2020-12,11/1/2020 12:00,Y, , ,1, ,115400,5,STLG BY DECEIT/IDENTITY THEFT REPORT              ,4225,E FINNEY AVE,58, , ,4225,FINNEY,893885.4,1025545
20-054268,2020-12,11/2/2020 9:00,Y, , ,1, ,64601,1,"LARCENY-FROM MTR VEH $500 - $24,999               ",4548,GRAVOIS AVE,5, , ,4548,GRAVOIS,888017.8,1001695
20-049954,2020-12,11/3/2020 11:19,Y, , ,1, ,81000,3,ARSON-1ST DEGREE/SUCCESS                          ,2909,GRAVOIS AVE,25, ,APT 1E,2909,GRAVOIS,897077.2,1008071
20-053511,2020-12,11/3/2020 16:00,Y, , ,1, ,91114,3,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC            ",935,LASALLE PARK CT,34,LASALLE HOUSING COMPLEX, ,935,LASALLE PARK,906241.3,1013517
20-055877,2020-12,11/3/2020 20:32,Y, , ,1, ,69602,2,"LARCENY-ALL OTHER $500 - $24,999                  ",2310,MCCAUSLAND,10,Walreens,,2310,MCCAUSLAND,0,0
20-056149,2020-12,11/5/2020 0:01,Y, , ,1, ,264100,5,HEALTH-SANITATION VIOL                            ,5822,MCPHERSON,46,,,5822,MCPHERSON,0,0
20-050341,2020-12,11/5/2020 18:40,Y, , ,1, ,151110,2,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION          ,4981,MARDEL AVE,14, , ,4981,MARDEL,884368.8,1004989
20-054746,2020-12,11/7/2020 6:00,Y, , ,1, ,71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,0,PAGE BLVD / UNION BLVD,51, , ,,,885352.5,1029591
20-050672,2020-12,11/7/2020 20:30,Y, , ,1, ,130000,4,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET    ",0,N 17TH ST / CHESTNUT ST,36, ,JUV CHECKING DR HANDLES,,,904537.6,1018285
20-055319,2020-12,11/8/2020 12:00,Y, , ,1, ,111110,3,FRAUD-BAD CHECK/INSUF FUNDS/OVER $150             ,1542,CALIFORNIA,31,,,1542,CALIFORNIA,0,0
20-057437,2020-12,11/8/2020 12:12,Y, , ,1, ,117000,2,FAILURE TO RETURN BORROWED/RENTED VEHICL          ,3260,KINGSHIGHWAY,15,,,3260,KINGSHIGHWAY,0,0
20-056539,2020-12,11/9/2020 15:00,Y, , ,1, ,67601,1,"LARCENY-FROM BUILDING $500 - $24,999              ",4741,HAMBURG,4,,,4741,HAMBURG,0,0
20-055311,2020-12,11/9/2020 16:56,Y, , ,1, ,264100,5,HEALTH-SANITATION VIOL                            ,5867,PAGE,78,,,5867,PAGE,0,0
20-054331,2020-12,11/10/2020 4:00,Y, , ,1, ,72113,2,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR     ,1641,S KINGSHIGHWAY BLVD,12,U-HAUL, ,1641,KINGSHIGHWAY,886712.8,1014540
20-056473,2020-12,11/10/2020 7:00,Y, , ,1, ,69602,6,"LARCENY-ALL OTHER $500 - $24,999                  ",4333,GOODFELLOW,70,Job Core,,4333,GOODFELLOW,0,0
02-051203,2020-12,11/10/2020 17:30,Y, , ,1, ,71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,2801,MARKET,37,,,,,0,0
20-054424,2020-12,11/11/2020 14:30,Y, , ,1, ,52312,6,BURGLARY-BUSINESS/UNK TIME/FORC ENT/UNOCCUPIED    ,2904,MARCUS AVE,56, , ,2904,MARCUS,892108.8,1032040
20-051282,2020-12,11/11/2020 15:45,Y, , ,1, ,183250,4,DRUGS-SALE/COCAINE                                ,1915,OLIVE ST,36, , ,1915,OLIVE,903703.7,1019090
20-057024,2020-12,11/12/2020 11:50,Y, , ,1, ,67701,2,LARCENY-FROM BUILDING UNDER $500                  ,1042,MCCAUSLAND,44,,,1042,MCCAUSLAND,0,0
20-055624,2020-12,11/12/2020 16:00,Y, , ,1, ,64701,5,LARCENY-FROM MTR VEH UNDER $500                   ,2407,UNION,50,,,2407,UNION,0,0
20-053116,2020-12,11/14/2020 15:30,Y, , ,1, ,65701,5,LARCENY-MTR VEH PARTS UNDER $500                  ,5476,DELMAR BLVD,47, ,PARKING LOT,5476,DELMAR,883320.2,1026696
20-056345,2020-12,11/14/2020 20:23,Y, , ,1, ,63701,1,LARCENY-SHOPLIFT UNDER $500                       ,7450,HAMPTON,6,Schnucks,,7450,HAMPTON,0,0
20-054731,2020-12,11/15/2020 9:00,Y, , ,1, ,51312,5,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED      ,2925,ABNER PL,50, , ,2925,ABNER,887777.5,1035041
20-058385,2020-12,11/15/2020 12:00,Y, , ,1, ,51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED      ,5717,PAMPLIN,76,,,5717,PAMPLIN,0,0
20-056576,2020-12,11/15/2020 17:00,Y, , ,1, ,65601,4,"LARCENY-MTR VEH PARTS $500 - $24,999              ",421,S. 10TH ST.,35,,,1004,SPRUCE,0,0
20-056690,2020-12,11/16/2020 7:00,Y, , ,1, ,69702,4,LARCENY-ALL OTHER UNDER $500                      ,3815,BELL,77,,,3815,BELL,0,0
20-056157,2020-12,11/16/2020 8:00,Y, , ,1, ,117000,4,FAILURE TO RETURN BORROWED/RENTED VEHICL          ,2233,WASHINGTON,36,Enterprise,,2233,WASHINGTON,0,0
20-054702,2020-12,11/16/2020 11:00,Y, , ,1, ,65701,3,LARCENY-MTR VEH PARTS UNDER $500                  ,111,WINNEBAGO ST,18,BROADWAY FORD SERVICE, ,111,WINNEBAGO,900574.2,1002387
20-054514,2020-12,11/16/2020 15:00,Y, , ,1, ,67601,1,"LARCENY-FROM BUILDING $500 - $24,999              ",5319,LANSDOWNE AVE,7, ,@BUDER SCHOOL,5319,LANSDOWNE,882189.9,1003328
20-055548,2020-12,11/16/2020 15:10,Y, , ,1, ,264100,6,HEALTH-SANITATION VIOL                            ,5349,QUEENS,71,,,5349,QUEENS,0,0
